派系名稱,成員總數,核心領袖,所有成員
A,91,Joeman,林淑芬2.0 | 愛里 | 77老大 | Joeman | 魔術Channel---Davio | Ian&Eric | 阿翰po影片 | 這群人-董仔 | 那對夫妻 | 小A辣 | 林進-飛醺卑鄙-fashion-baby | 元-元 | PEETA葛格 | 陳彥婷 | Charlene-Liu-查理 | GINA-HELLO! | Natalie吳斐莉 | 一隻阿圓 | 卡特-Kart | 愛莉莎莎-Alisasa | 見習網美小吳 | 籃靖玟 | 關韶文 | 紀卜心-Kimi | Candy-孟潔 | 羚小鹿 | 林萱-Shiuan | 黃大謙 | 我是老爸-我不要當爸! | Peter-Su | 嘎嫂二伯 | 滴妹 | 飽妮 | Yun-Chou | 三原慧悟-Sanyuan_JAPAN | 找蔬食-Traveggo | HOOK | Sandy-&-Mandy | BlaireChen-左撇子 | 千千進食中 | 那些電影教我的事 | Meg-今天穿什麼 | High咖-邱志恒 | 許允樂的老兵魂 | 彼得爸與蘇珊媽 | Evelyn-Chen-理科太太 | 欸你這週要幹嘛 | 蔡桃貴 | 白癡公主 | 有璟妍精요찡옌찡 | 台灣妞韓國媳 | 小凱老師 | 江老師 | 丹妮婊姐 | 這群人-尼克 | LoganDBeck-小貝 | 上發條俱樂部 | 崔&雪莉&Jon | 崔咪Tramy | 三個麻瓜 | 兔女狼 | 黃小米-Mii | 莫彩曦Hailey | 小象愛出門 | 強運少女日本日記RU-in-Japan/ | 那那大師 | Mom-&-Dad | 厭世甜點店 | KEOKI-BLACK布萊克薛薛 | 百變沛莉-Peri | 日本藥妝失心瘋 | 黃山料 | 痘疤醫生---莊盈彥醫師 | 周小葳 | 村子裡的凱莉哥 | Goris-Sky | Cindy-H | 融融歷險記-Ben’s-Adventure | Bobo-TV | MaoMaoTV | 處女座媽媽的瑣碎日常 | Patti-Huang | 可可酒精 | Jason-Chen-陳以桐 | Sunnie-陸筱晴 | 邱沁宜 | Emma艾瑪 | 羅小白 | Ines-Wang | 辣媽Shania | 鬧著玩娛樂
B,86,阿滴英文,Aries艾瑞絲 | Andy老師 | 琳妲-林羿禎 | 這群人TGOP | HahaTai-哈哈台 | 蕭志瑋 | 大蛇丸 | 含羞草日記 | 阿滴英文 | 我是阿樂-林妤臻 | 廉傑克曼 | 魚乾 | J-Bao賤葆 | 安啾咪 | Onion-man-洋蔥先生與阿文 | 廚佛瑞德Fred | 蔡阿嘎 | 蔡哥 | 英雄日常Heroisme | 肉比頭Zoebitalk | 我得了一種吃菜就會死的病-微疼 | 胡子Huz | Six-Wang | 超認真少年-I'm-Serious | 好味小姐 | 那個女生-Kiki | How-Fun-如何爽 | 鐵牛-Ironbull | 3cTim哥生活的日常 | Men's-Game-玩物誌 | 小熊-Yuniko | 小葵-XiaoKui | 電瀨少女-女孩的科技日常 | 瑀熙-Yuci | 志祺七七 | 黃氏兄弟 | PanSci-泛科學 | IFBB-Pro-Lin-Ching-Chieh-林敬傑 | 星期天 | 囂搞-Shaogao | 泱泱LYNN | 鼻妹的廢話亂畫 | MR.JOE-HOBBY.tv | 恩熙俊-aka-MC-Jeng | 貝莉莓 | 現在宅知道 | 咪妃Julia | 泥泥汝niniru | 魯蛋的頻道 | Sandy-珊迪 | 牛排 | 柴犬Nana和阿楞的一天 | 阿啾繪圖同萌 | 人類超有病-Baxuan | 貓貓蟲-咖波 | 啾啾妹-by-LIIN | 蛋事超有事EggThings | 鹿人 | 健人蓋伊 | 大H-陳建昕 | 木曜4超玩 | 豆漿--Soybean-Milk | 黃阿瑪的後宮生活 | 超粒方 | 吃貨豪豪 | 艾爾文 | 人生肥宅x尊 | cheap-鄭才暐 | Campfire營火部落 | Ru's-Piano-Ru味春捲 | 台灣吧 | 喪屍老爸 | 麻糬爸 | 小尾巴 | 傲嬌爸的養貓日常 | 尤汐伯夷 | Ciao!-Kitchen | 豹子腿方昶詠 | 阿淇博士-Dr.Achi | 希露弟弟啃雞腿 | 阿慈車庫-Dream-garage | DE-JuN | 依梨 | Lilyflute長笛姐姐 | 黃帝筱清Virus | Linzin-阿哲
C,4,SMG-Sirenia海牛,SMG-Sirenia海牛 | 閃電狼Flash-Wolves | Gary蓋瑞 | Lobo-蘿蔔
D,2,連環泡有芒果,連環泡有芒果 | Coffee-Time
E,2,莊政威-Cliff-Chuang,莊政威-Cliff-Chuang | 鵝鵝就是鵝鵝
F,1,蘿潔塔的廚房,蘿潔塔的廚房
G,1,虎麗笑嗨嗨,虎麗笑嗨嗨
H,1,老王愛說笑,老王愛說笑
I,1,波蘭女孩x台灣男孩-在家環遊世界,波蘭女孩x台灣男孩-在家環遊世界
J,1,紫玥桃,紫玥桃
K,1,肉肉Neneko,肉肉Neneko
L,1,王宏哲教養、育兒寶典,王宏哲教養、育兒寶典
0關聯,8,丁特-Dinter,丁特-Dinter | 雨揚樂活家族 | 星光奈奈 | Wecook123-料理123 | 史丹利視角的體育世界 | 胡采蘋-Emmy-Hu | 維思維 | 老王-oldwang
