派系名稱,成員總數,核心領袖,所有成員
主要派系 1,53,蔡哥,蛋哥 | 老王 | 塞門-Psyman | 亞洲統神-張嘉航 | 好味小姐-Lady-Flavor | 多米多羅-Domidolo | Inokawa-Hajime井川一 | 羽毛 | 希露弟弟啃雞腿 | 郭哲榮 | 龜狗 | 喬瑟夫-ChillSeph | 反正我很閒 | 冏星人-余玥 | 啾啾鞋 | 鐵牛-伍嘉緯 | 館長-陳之漢 | 黑素斯（阿兜仔不教美語） | 6tan | 試當真-Trial-&-Error | 阿啾 | 志銘與狸貓 | 亞拉（貓貓蟲咖波） | 蒼藍鴿的醫學天地 | 床編故事-Bad-Time-Stories | 中指通 | 蔡哥 | 懶貓 | HowHow-陳孜昊 | 茶里 | 品筠&京燁（那對夫妻） | 喬老師（MR.JOE-HOBBY.tv） | 許伯&簡芝（倉鼠人） | 鳥屎 | 超粒方 | 鵝肉麵 | 尊-朱玉恩（人生肥宅x尊） | 霸軒與小美-Baxuan-&-Mei | 李芷婷 | 詹姆士 | Bit-King比特王出任務 | 孫沁岳 | 國動 | 阿神 | 윤도이-尹到怡 | 恩熙俊 | Cheap-鄭才暐 | 小慧就愛吃-シャオホイ | 泡泡哥哥 | 微疼 | 洋蔥（Onion-Man） | 呱吉-邱威傑 | 許廷瑞（超認真少年Imserious）
主要派系 2,52,蔡阿嘎-蔡緯嘉,欣西亞和Shane | Ricky&Nina（我們倆） | 恩恩老師EanTV | 權證小哥 | 蔡阿嘎-蔡緯嘉 | 蛇丸 | 爆哥-Neal | 彼得爸與蘇珊媽 | 王思佳 | Bump-黃煦傑 | 愛莉莎莎-Alisasa | 烏鴉DoKa | 錫蘭-Ceylan | 豹子腿-方昶詠 | 黑男 | 賤葆-J-Bao | 瑋瑋-黃挺瑋 | 蹦闆-呂育銓 | 游庭皓 | 艾瑞絲-Aries | 哲哲-黃雍哲 | 黃氏兄弟 | Lobo-蘿蔔 | 小許 | Charlie-查理 | 八炯-温子渝（攝徒日記Fun-TV） | Our-TV | Andy老師-王崇睿 | 咪妃 | 全民瘋車Bar | 本本 | 焦凡凡 | 小賴-賴晏駒 | 77老大 | 解婕翎 | 林進 | 可可酒精 | 尼克星-潘律星 | 黃明志 | 那個女生-Kiki | 西西歪 | 小哥哥艾理-陳玟里 | Bobo&Kira（Bobo-TV） | 野人七號部落 | 蓋彼-Gabi | 谷阿莫 | 反骨男孩-WACKYBOYS | Ryu | 奎丁 | 儒哥 | uzra | 草爺（含羞草日記）
主要派系 3,52,阿滴-都省瑞,泱泱-吳泱潾-LYNN | 阿翰 | 夠維根Go-Vegan | 琳妲-林羿禎 | 展榮&展瑞 | 有感筆電-Daptoper | 老高與小茉-Mr-&-Mrs-Gao | 歷史哥-李易修 | 令&一粒（壹加壹） | 丹妮婊姐 | 哲睿-Jerry | 張志祺（志祺七七-X-圖文不符） | 韓國女生Judy | 歐耶老師 | 唐綺陽 | 賀瓏-Hello | Ian與Eric（The-DoDo-Men---嘟嘟人） | 一隻阿圓 | 咪蕾-미래 | HOOK | 小吳（見習網美小吳） | Allen（Men's-Game-玩物誌） | 營養健身葛格Peeta | 劉沛 | 孫建豪（孫安佐） | 百靈果 | 寒國人-張紹群 | 布萊克薛薛 | 溫妮-黃于恩 | 居妮-Ginny | 阿部瑪利亞 | 鍾明軒 | 千千-Chien-Chien | 關關關兒 | 鄭毓倫（台南Josh） | Zack（超級房仲學院） | 阿格力 | Celine-and-Cynthia---不只是旅行 | 嘎嫂二伯&蔡波能 | 阿滴-都省瑞 | 理科太太-Li-Ke-Tai-Tai | 肥波 | 波特王-陳加晉 | RuRu（Ru味春捲） | 蔡桃貴 | 葳老闆-周品均 | 白癡公主 | Den | 吳卓源-Julia-Wu | 薔薔-林嘉凌 | 羅時豐 | 曾博恩
主要派系 4,3,Zoebitalk肉比頭,柴鼠兄弟 | Zoebitalk肉比頭 | 李勛-SHIN-LI
主要派系 5,2,大H,大H | 超強系列
主要派系 6,2,滴妹-都冠伶,滴妹-都冠伶 | 艾爾文
未與他人關聯 (Degree = 0),36,晚安小雞,晚安小雞 | 丁特-Dinter | 呂捷 | 雨揚（雨揚樂活家族） | 叉雞 | 老王-王倚隆 | 張家寧（秘月期POPOO） | 霸軒-Baxuan（人類超有病） | Eric-Duan | 閩南狼-陳柏源 | 宏爺（宏爺講股） | 清流君 | Will（X調查） | DE-JuN | 林海陽 | 我是賴瑞 | 李永年 | 卡哇-KAWA | 阿鬧 | 乾杯與小菜 | 阿津 | 潔哥-李秉潔 | 巧克力 | 至尊星-Supremestar | 小羽動漫xiaoyu | 傑克（傑克開吃） | 朱宥勳 | Crispy-Fried-ABC-鹽酥英語 | 紅月 | 半瓶醋 | 尚恩-Shawn | 游否希 | 吃飯兄弟DiningBro | 股魚（投資嗨什麼） | 貝克書 | LeeJay李潔
