Original_Rank,Person_Name,In_Degree (被追蹤數),Out_Degree (主動追蹤數),Mutual_Follow (互粉數),Network_Influence_Score,Betweenness_Centrality,Eigenvector_Centrality,Local_Clustering_Coefficient,Core-periphery_Coreness,ig_url,posts,Followers,Following,category,distinct_following
172,黃山料,4,0,0,0.02,0.0,0.008522,0.416667,4,https://www.instagram.com/iam_3636/,313,390092,1,時事討論,1
173,羚小鹿,12,10,9,0.06,0.000359,0.020335,0.484234,13,https://www.instagram.com/daiying0/,914,353699,627,"美妝保養,旅遊,表演藝術",625
174,Natalie吳斐莉,34,23,19,0.17,0.012599,0.059477,0.298668,22,https://www.instagram.com/wufeili/,3568,372383,452,"美妝保養,時尚潮流,旅遊",453
175,黃帝筱清Virus,4,7,3,0.02,0.000228,0.006034,0.326923,7,https://www.instagram.com/zxsdexz/,172,192357,899,遊戲電玩,899
176,村子裡的凱莉哥,2,9,2,0.01,0.000314,0.001552,0.301887,8,https://www.instagram.com/kellyshen40/,4589,80754,1211,"旅遊,家庭母嬰,帶貨分潤",1213
177,老王-oldwang,0,0,0,0.0,0.0,0.0,0.0,0,https://www.instagram.com/oldwangstock/,2229,72829,10,"趣味搞笑,時事討論",0
178,處女座媽媽的瑣碎日常,4,29,3,0.02,0.000883,0.003563,0.333333,21,https://www.instagram.com/mypink0911/,1786,83681,563,綜合其他,564
179,虎麗笑嗨嗨,2,0,0,0.01,0.0,0.00095,0.5,2,https://www.instagram.com/hooleefun/,3628,285219,76,美食料理,76
180,老王愛說笑,1,0,0,0.01,0.0,0.004356,0.0,1,https://www.instagram.com/oldwangstock/,2229,72829,10,理財創業,10
181,喪屍老爸,8,20,6,0.04,0.000491,0.017363,0.490591,20,https://www.instagram.com/walkerdad1228/,1301,116757,380,"家庭母嬰,趣味搞笑",381
182,尤汐伯夷,1,10,1,0.01,2.3e-05,0.003817,0.444444,10,https://www.instagram.com/boyplaymj/,1730,70600,594,遊戲電玩,596
183,崔咪Tramy,22,29,18,0.11,0.009173,0.044964,0.429594,21,https://www.instagram.com/b2btramy888888/,1798,159302,1212,時尚潮流,1212
184,Cindy-H,11,9,7,0.06,0.000179,0.024032,0.601093,12,https://www.instagram.com/cindyhhh32/,1683,182298,417,"美妝保養,時尚潮流",417
185,MR.JOE-HOBBY.tv,12,20,9,0.06,0.000316,0.034692,0.664271,22,https://www.instagram.com/mr.joehobby/,1087,47570,169,遊戲電玩,169
186,Sunnie-陸筱晴,12,22,12,0.06,0.004834,0.018868,0.31694,18,https://www.instagram.com/sunnie_cat0111/,3293,226451,1105,"美妝保養,時尚潮流,旅遊,美食料理",1102
187,Goris-Sky,8,2,2,0.04,4.7e-05,0.014308,0.465116,8,https://www.instagram.com/goris.sky/,7960,161740,196,"時尚潮流,美妝保養",195
188,依梨,5,6,4,0.03,9.3e-05,0.009273,0.607843,7,https://www.instagram.com/lebaby0v0/,551,536194,196,"時尚潮流,遊戲電玩",195
189,許允樂的老兵魂,30,36,27,0.15,0.003481,0.073089,0.470255,26,https://www.instagram.com/byleway/,7638,318515,1355,"美妝保養,時尚潮流",1356
190,鬧著玩娛樂,2,11,1,0.01,5.9e-05,0.007719,0.571429,12,https://www.instagram.com/nowyouon/,510,43933,150,"旅遊,美食料理",150
191,林淑芬2.0,4,15,2,0.02,0.000376,0.003065,0.393491,15,https://www.instagram.com/0_shufen/,1371,883571,547,綜合其他,542
192,Mom-&-Dad,9,29,9,0.05,0.003228,0.016858,0.313401,20,https://www.instagram.com/momanddad_band/,906,74943,483,家庭母嬰,482
193,Meg-今天穿什麼,28,25,23,0.14,0.001776,0.074745,0.551661,22,https://www.instagram.com/maygobla/,1504,199066,1045,"美妝保養,時尚潮流",1046
194,小凱老師,10,9,5,0.05,0.00064,0.017722,0.319277,12,https://www.instagram.com/kai_makeup_/,2085,136460,647,美妝保養,647
195,紫玥桃,0,8,0,0.0,0.0,0.0,0.267857,7,https://www.instagram.com/skauramomo/,0,0,0,"時尚潮流,表演藝術",1689
196,鵝鵝就是鵝鵝,1,4,1,0.01,1.5e-05,0.001998,0.277778,3,https://www.instagram.com/ninggoose/,1203,107527,1001,汽機車,1001
197,安啾咪,43,49,35,0.22,0.00642,0.109163,0.448205,27,https://www.instagram.com/anjouclever/,497,385142,215,"美食料理,表演藝術",215
198,Linzin-阿哲,3,1,0,0.02,4e-06,0.007831,0.75,4,https://www.instagram.com/linzin.yt/,1001,31005,19,3C科技,20
199,廚佛瑞德Fred,41,43,33,0.21,0.00672,0.10627,0.491312,27,https://www.instagram.com/thechef_fred/,930,183927,1037,"美食料理,帶貨分潤",1037
200,大H-陳建昕,10,20,8,0.05,0.004934,0.018967,0.343091,18,https://www.instagram.com/hsin0126/,2037,314116,4829,運動健身,4829
