Original_Rank,Person_Name,In_Degree (被追蹤數),Out_Degree (主動追蹤數),Mutual_Follow (互粉數),Network_Influence_Score,Betweenness_Centrality,Eigenvector_Centrality,Local_Clustering_Coefficient,Core-periphery_Coreness,ig_url,posts,Followers,Following,category,distinct_following
35,志祺七七,54,31,28,0.27,0.004764,0.111315,0.390881,27,https://www.instagram.com/shasha77.daily/,1093,238862,552,"知識教育,時事討論,高階經理人",537
36,HOOK,60,46,38,0.3,0.006991,0.143959,0.44165,27,https://www.instagram.com/helloiamhook/,1154,648553,448,"寵物,旅遊,美食料理",446
37,木曜4超玩,23,18,10,0.12,0.000478,0.0585,0.595679,25,https://www.instagram.com/muyao4/,817,342007,71,旅遊,70
38,丹妮婊姐,36,0,0,0.18,0.0,0.082111,0.403968,24,https://www.instagram.com/dannybeeech/,1232,257954,2,"美妝保養,時尚潮流,趣味搞笑",2
39,泱泱LYNN,14,32,10,0.07,0.000534,0.037376,0.59561,26,https://www.instagram.com/lynnwu0219_2/,21,76276,93,帶貨分潤,93
40,HahaTai-哈哈台,23,44,19,0.12,0.00436,0.046466,0.391195,26,https://www.instagram.com/hahatai_official/,2719,335359,1092,趣味搞笑,1092
41,丁特-Dinter,23,31,20,0.12,0.003009,0.055759,0.423459,24,https://www.instagram.com/dinteroffical/,407,198349,1034,遊戲電玩,1034
42,彼得爸與蘇珊媽,19,32,17,0.1,0.004736,0.04311,0.326312,23,https://www.instagram.com/peter_and_susan/,3181,115573,1267,"旅遊,家庭母嬰,帶貨分潤",1251
43,阿翰po影片,77,55,48,0.39,0.020041,0.151784,0.339032,27,https://www.instagram.com/hanhanpovideo/,714,663533,1782,趣味搞笑,1782
44,愛里,27,65,21,0.14,0.007714,0.052062,0.364706,27,https://www.instagram.com/allie.liao/,180,621595,1325,"知識教育,趣味搞笑",1318
45,這群人-尼克,47,51,40,0.24,0.010375,0.117665,0.426586,27,https://www.instagram.com/nickwang1988/,2358,422848,646,"趣味搞笑,表演藝術",646
