派系名稱,成員總數,核心領袖,所有成員
A,41,莊酷炫,莊酷炫 | 黃山料 | Andy老師 | Ines-Wang | 小象愛出門 | 關韶文 | 妮妮-Nini | 羚小鹿 | 琳妲-林羿禎 | 蕾菈-Lyla | Jason-Chen-陳以桐 | PopDaily | 小A辣 | 周小葳 | 豪吃來吃 | 丹妮婊姐 | Patrick-派翠克 | Emma艾瑪 | 那對夫妻 | KEOKI-BLACK布萊克薛薛 | Lilyflute長笛姐姐 | 彼得爸與蘇珊媽 | 見習網美小吳 | 艾爾文 | Yun-Chou | 林淑芬2.0 | 李恩菲x菲菲 | Irene-林艾融 | 林進-飛醺卑鄙-fashion-baby | Peter-Su | 蔡桃貴 | 虎麗笑嗨嗨 | 喬喬兒Sylvia | 愛莉莎莎-Alisasa | 元元 | Bonjour-Louis!-我是路易 | 江老師 | 依梨 | Aries艾瑞絲 | 魔術Channel---Davio | 陳彥婷
B,37,蔡阿嘎,黃阿瑪的後宮生活 | Ru's-Piano-Ru味春捲 | HOOK | 貓貓蟲-咖波 | 志祺七七 | 漢娜在翻譯 | lan&Eric | 小葵-XiaoKui | 電瀨少女-女孩的科技日常 | 那些電影教我的事 | 鹿人 | Onion-man-洋蔥先生與阿文 | 星期天 | 人類超有病-Baxuan | 好味小姐 | Six-Wang | Joeman | 木曜4超玩 | How-Fun-如何爽 | 超認真少年-I'm-Serious | 麻糬爸 | 泱泱-LYNN | 大蛇丸 | 柴犬Nana和阿楞的一天 | 魚乾 | 閃電狼Flash-Wolves | 呱吉 | 阿啾繪圖同萌 | 白癡公主 | HahaTai-哈哈台 | PanSci-泛科學 | 豆漿--Soybean-Milk | 千千進食中 | 蔡阿嘎 | 黃氏兄弟 | 這群人TGOP | 台灣吧
C,16,廉傑克曼,瑀熙-Yuci | Sandy-&-Mandy | 健人蓋仇 | BBpPro-Lin-Ching-Chieh-林敬傑 | 莊政威-Cliff-Chuang | 孫生 | 三原慧悟-Sanyuan_JAPAN | 紫玥桃 | 辣媽Shania | Sandy-珊迪 | 一隻阿圓 | 咪妃Julia | 愛里 | 飆悍 | PEETA葛格 | 廉傑克曼
D,4,嘎嫂二伯,P.LEAGUE | 嘎嫂二伯 | 我是老爸-我不要當爸! | 欸你這週要幹嘛
0關聯,2,蘿潔塔的廚房,蘿潔塔的廚房 | A力地方媽媽
