派系名稱,成員總數,核心領袖,所有成員
主要派系 1,41,莊酷炫,依梨 | 陳彥婷 | PopDaily | 虎麗笑嗨嗨 | Lilyflute長笛姐姐 | 妮妮-Nini | 林進-飛醺卑鄙-fashion-baby | 丹妮婊姐 | 元元 | 小A辣 | 琳妲-林羿禎 | KEOKI-BLACK布萊克薛薛 | 周小葳 | Jason-Chen-陳以桐 | 豪吃來吃 | 那對夫妻 | 小象愛出門 | 艾爾文 | 愛莉莎莎-Alisasa | Bonjour-Louis!-我是路易 | 魔術Channel---Davio | 關韶文 | Irene-林艾融 | Ines-Wang | Yun-Chou | Aries艾瑞絲 | Andy老師 | 彼得爸與蘇珊媽 | Emma艾瑪 | 羚小鹿 | 李恩菲x菲菲 | Peter-Su | 喬喬兒Sylvia | 蔡桃貴 | 莊酷炫 | 江老師 | 黃山料 | 林淑芬2.0 | 蕾菈-Lyla | Patrick-派翠克 | 見習網美小吳
主要派系 2,37,蔡阿嘎,泱泱-LYNN | Ru's-Piano-Ru味春捲 | How-Fun-如何爽 | HahaTai-哈哈台 | 閃電狼Flash-Wolves | 鹿人 | PanSci-泛科學 | 好味小姐 | 黃氏兄弟 | 貓貓蟲-咖波 | Onion-man-洋蔥先生與阿文 | Joeman | 阿啾繪圖同萌 | 漢娜在翻譯 | 蔡阿嘎 | 人類超有病-Baxuan | 豆漿--Soybean-Milk | 呱吉 | 千千進食中 | 大蛇丸 | 麻糬爸 | 木曜4超玩 | 那些電影教我的事 | 超認真少年-I'm-Serious | 白癡公主 | lan&Eric | 電瀨少女-女孩的科技日常 | 黃阿瑪的後宮生活 | HOOK | 這群人TGOP | 小葵-XiaoKui | 志祺七七 | 柴犬Nana和阿楞的一天 | 魚乾 | 星期天 | 台灣吧 | Six-Wang
主要派系 3,16,廉傑克曼,一隻阿圓 | 莊政威-Cliff-Chuang | 健人蓋仇 | Sandy-&-Mandy | 紫玥桃 | 孫生 | 飆悍 | 咪妃Julia | Sandy-珊迪 | 辣媽Shania | BBpPro-Lin-Ching-Chieh-林敬傑 | 三原慧悟-Sanyuan_JAPAN | PEETA葛格 | 廉傑克曼 | 愛里 | 瑀熙-Yuci
主要派系 4,4,嘎嫂二伯,欸你這週要幹嘛 | 嘎嫂二伯 | P.LEAGUE | 我是老爸-我不要當爸!
0-Degree,2,蘿潔塔的廚房,蘿潔塔的廚房 | A力地方媽媽
